"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"29574",-0.35451454,-1.7528893,-0.36583114,-0.07674593,0.9951064,-1.7461002,-1.3979187,-0.06014681,0.39905205,2.0496325
"18597",-1.2294781,-0.7638625,0.85861826,0.42812702,1.0922537,2.085804,-0.063929975,-0.45722967,0.120221645,-0.27570105
"13741",0.19059777,-0.47955027,-1.0380824,2.005877,-1.3233528,-0.81752264,0.61285436,0.8150995,0.37327555,0.5859082
"25017",0.4840055,0.46109068,-0.8060421,-0.44656682,0.3031146,-1.2223749,-1.1012816,-0.93395644,-0.24770004,-0.065449774
"8934",-0.42142078,-1.0942144,1.1617959,1.2644819,-0.2982971,0.04844725,0.1583429,-0.048312604,-0.49747413,-0.42072022
"13195",-1.3900707,-1.3266492,-0.63599944,-1.1821337,-1.0059004,-1.3400999,0.0045979023,0.6888133,0.49829265,1.3421686
"9203",1.5985117,0.66977155,-0.089411944,-0.16095704,-1.364131,-1.0978367,-0.52997935,-0.19411927,-0.05935982,-0.17300944
"17477",-0.3440383,0.8577956,-0.8730607,-0.55623716,-1.2711685,0.53224516,-0.49606395,-0.35938936,-0.27248544,0.7554518
"20671",0.7461074,0.38492453,-0.67964935,-0.55110794,0.33830738,-0.9161305,-1.5485895,-0.64857954,0.23848227,0.27312535
"1786",0.37657094,-0.71480036,-0.6156525,1.4839218,-0.060105264,-1.0940571,1.4374008,-0.4555965,-0.118481874,-0.8068583
"22117",-0.06327757,1.7765566,0.4565455,-0.06295429,0.29419732,-1.501827,-0.530167,-0.81032306,-1.3999085,0.08917324
"6765",-1.2954636,-0.47761816,-1.3814425,-0.79232055,1.5367835,2.0880208,-1.1642051,2.8829618,1.1483629,0.7177211
"4420",-0.9697654,-0.7664881,0.6644186,0.3658449,-0.5010269,0.7698785,-0.57544637,0.06963527,0.10215959,-1.126639
"20974",-2.0144212,0.572289,1.5912939,-1.6438622,-0.30514485,0.31373012,-1.4824388,-0.073301554,-0.7954626,-0.6651126
"16486",-0.6157434,-0.39154235,0.037058413,-1.4144195,0.099521905,-0.2535079,0.39896047,-0.28231555,1.0393093,1.6987162
"360",-0.83300346,0.9103575,1.8534418,0.2792579,0.23633614,1.2569607,1.0488243,2.824538,0.26954237,-0.82496035
"24086",0.14814311,1.3043715,-0.49684596,-0.7966708,-0.07861766,-1.4150645,-0.4200914,0.21302634,0.07204291,0.2553332
"30027",0.25462985,0.7641289,-0.84533334,-0.12187502,-1.3776367,0.23833191,-0.71036327,-0.27884334,0.47299585,0.37110466
"2994",0.17206591,-1.2818325,-1.2918584,0.12719448,-1.0933625,-0.6866019,1.7198856,-0.5317854,-0.21643215,-0.60084677
"9147",-1.4794602,-0.68139863,0.71518743,-1.2403994,0.468143,0.29553378,-0.15786976,0.36520594,0.56590605,-1.1931369
"29841",-1.1409234,-0.22415939,1.2965353,-0.06464949,0.1383146,0.16770327,-1.0438432,0.45552737,0.2894751,-1.5910194
"25722",0.24950588,2.7983131,0.6418928,-0.23974416,1.0851264,-0.76713294,-0.88059247,-0.31970054,-1.1633842,-1.0847701
"17595",-0.40210798,0.3275026,-1.3464116,-0.8995167,-0.22694473,-0.66792977,-0.9864403,0.2567761,1.4841487,-0.28990382
"4732",0.3462897,-0.46646795,-0.7974347,0.84814084,-0.29537344,0.83259,1.3427205,-0.9295173,-0.25094593,-0.72823244
"27010",-0.01732874,0.8763901,-0.93527853,-0.24040756,0.06802058,0.5030453,0.56606364,0.10848975,-0.091296285,0.67719245
"28461",-0.27681068,0.64227474,-1.3033751,0.55605567,0.94802874,0.53607965,0.9062635,-0.13816357,0.70583487,0.82693076
"24935",0.26647198,0.18068093,-1.2423975,-0.2141017,0.3274035,-0.08560175,-0.6594399,-0.5411884,-0.07256961,-0.21865425
"29209",0.6630315,-0.3527942,2.0949938,0.576477,1.7635791,1.9976896,1.0887582,1.2442641,-2.3858163,0.6599563
"20643",-0.05916077,0.118570745,-0.9207243,0.5828184,0.6059034,0.5073153,0.40257517,-0.4676798,-0.66354203,0.72363466
"2148",-0.63359994,-0.52435756,-1.387499,-0.3522214,0.0764339,-0.44280517,0.79852515,-0.32517594,-0.012800008,-0.72559696
"29013",-1.6268399,0.0075019,0.9398769,-7.469952e-05,-0.7905359,0.85802877,-1.7012255,-0.49076003,-0.44894704,-0.8502294
"29342",-0.35826707,-0.4336034,1.3955576,2.319006,3.269864,-0.36429983,-0.45142186,0.7938474,-0.41982406,1.1377176
"26351",0.3454311,-0.6648879,-1.5544846,-1.1296902,1.237927,-0.39841908,-0.4620453,-0.6477596,1.1215357,-1.072583
"3425",-1.27656,1.0847495,1.3902775,0.46672735,-0.22806005,1.1479582,1.1300943,1.1234419,-0.14723942,-1.5472423
"14738",0.65073794,-1.1654843,0.20679194,0.49026647,0.53108776,-0.44577906,0.75333476,-1.9012225,0.26967344,1.2350261
"28227",0.40600884,0.60282505,-0.19122122,0.36030442,2.4567318,-0.65467745,0.8731282,-0.94749373,0.75715375,-0.06588649
"15732",0.68885463,1.0495507,-0.24481085,0.53865373,-0.490155,-1.7113845,-0.43636394,-0.89361304,-0.21258602,0.3534088
"28501",-0.5237855,-0.8131174,1.9127265,-1.13152,-0.72684956,-0.063230336,-0.9661546,-0.664426,0.35568377,-0.63732773
"29316",0.048592865,2.2363977,0.52863896,0.35061616,0.17732328,-1.390378,-0.45603418,-0.8367911,-0.80483735,-0.97199565
"11336",0.67291814,1.7228717,0.9564328,-0.6903726,-0.15331832,0.5953071,1.0649104,1.0938584,-0.22777657,0.6715199
"22718",0.927762,-0.3927338,-0.8211063,-1.0795931,0.030763656,0.08454323,-0.038553238,-0.643426,-1.8680379,-0.28869325
"27941",0.7313706,1.4107547,-0.105295554,-0.4268964,0.7941659,-0.23706675,-0.22390676,0.050729692,-0.3410154,-0.5007182
"29969",0.6365611,-0.06475109,-0.9102279,-0.23297125,1.6396453,0.11046469,0.14842024,-1.7442169,-0.12058905,-0.123429835
"8874",0.5924935,-0.24120757,-1.1306959,-0.08291532,0.24694094,-0.74517536,0.010987341,1.1399001,-0.09739047,-0.08188085
"19258",3.8666816,1.0888166,3.1527677,-0.99885345,-1.3130226,-1.581769,-1.9831855,-2.6327467,-2.2219813,2.5944219
"25329",0.4786101,0.41734165,-1.3307482,-0.35767433,-0.4843473,1.1044887,-0.34238052,-1.2002413,1.0153897,0.07609169
"1093",1.0834382,-0.14656445,2.3530865,1.2503126,2.0355976,3.4850144,0.8980376,0.501854,-1.4775403,0.14966683
"3413",0.32001108,0.62885153,-1.0922507,-0.6710009,-0.121052,-0.44153026,0.8487737,0.40949595,0.08944908,-0.33490252
"21189",-0.29634863,0.63476455,-0.5201038,0.53621316,-0.24769771,-0.6007676,-0.6952479,-0.91597074,-0.0074272454,0.38506097
"2750",-1.3475778,0.090240896,0.79847896,1.0480056,-0.13385658,0.8735775,0.37926528,0.56496435,1.2239596,-1.797981
"10318",-0.0041849315,-0.7539221,0.70694375,0.5673085,-1.3392897,-0.39116722,1.1417029,0.12314421,1.1528798,1.2367504
"4769",-0.4427877,-0.3629309,-0.9199258,0.65072215,-0.46338436,-0.6468418,0.9968504,1.5785279,0.3938888,-0.42172176
"2044",0.013340533,-0.9857918,-0.07089445,0.6965327,0.49751592,-1.099433,-0.47970128,0.53568685,1.8211405,1.012145
"23701",0.14328676,0.04307729,1.3487568,0.77004457,1.9263511,0.78427887,1.3213286,1.945077,-1.5878543,1.9657114
"12282",0.96717805,0.018127203,-0.4561512,0.19928841,0.091350496,-1.1136061,0.68964255,-0.8077751,-0.24657162,-0.1395321
"30321",-0.22616142,-1.1367617,0.108614564,-0.41258347,-0.75914645,-0.3871193,0.28331983,0.0445143,0.20527044,1.7484989
"24975",-0.42070097,0.060626745,-1.2558059,-0.73630726,0.89867395,0.9167253,0.41499567,-0.46117014,-1.659269,-0.0056848973
"23886",-1.5500598,-0.85121995,1.0176183,-0.49926627,0.77396685,0.40523088,0.14112037,-0.39984506,0.60256803,0.058598757
"17264",0.3895123,1.3013697,-0.16522378,-0.6358098,0.2287108,-1.9491924,-0.5242014,-0.09237456,-1.0376668,0.29888207
"1623",-1.2984078,0.25786424,0.6934053,-0.4427203,0.8494095,1.4232568,0.05009359,0.66611373,-0.45195073,-1.6322901
